"name","nameID","region","longitude","latitude"
"International District/Chinatown Branch","idc","SER",-122.322784,47.596233
"Beacon Hill Branch","bea","SER",-122.311395,47.577994
"Columbia Branch","col","SER",-122.286991,47.559901
"NewHolly Branch","nhy","SER",-122.290419,47.539208
"Rainer Beach Branch",rbe,"SER",-122.270661,47.521479
"University Branch","uni","NER",-122.317912,47.66525
"Northgate Branch","nga","NER",-122.322875,47.706079
"Northeast Branch","net","NER",-122.290717,47.677861
"Lake City Branch","lcy","NER",-122.298173,47.719819
"Ballard Branch","bal","MCW",-122.384386,47.669874
"Broadview Branch","bro","NWR",-122.356211,47.723004
"Capitol Hill Branch","cap","MCE",-122.322335,47.622888
"Central Library","cen","DWN",-122.332984,47.6066
"Delridge Branch","dlr","SWR",-122.363262,47.553086
"Douglass-Truth Branch","dth","MCE",-122.301876,47.601915
"Fremont Branch","fre","MCW",-122.3484,47.650068
"Green Lake Branch","glk","NWR",-122.326817,47.681551
"Greenwood Branch","gwd","NWR",-122.35475,47.687459
"High Point Branch","hip","SWR",-122.375787,47.54807
"Madrona-Sally Goldmark Branch","mgm","MCE",-122.289976,47.612695
"Magnolia Branch","mag","MCW",-122.401332,47.645219
"Montlake Branch","mon","MCE",-122.302389,47.640488
"Queen Anne Branch","qna","MCW",-122.362665,47.633814
"South Park Branch","spa","SWR",-122.322597,47.526216
"Southwest Branch","swt","SWR",-122.376393,47.522511
"Wallingford Branch","wal","NWR",-122.338924,47.661243
"West Seattle Branch","wts","SWR",-122.384767,47.582691
